;pCodigo;pFornecedor;pReferencia;pCodigoBarras;pDescrição;pDescrição Reduzida;pTamanho;pColeção;pLinha;pSegmento;pGrupo;pFamilia;pSubFamilia;pNCM;pOrigem CST;pUN;pMultiplo;pM²/Pallet;pQUANTIDADE NA EMBALAGEM;pPeso;pCusto;pPercST;pPercIPI;pPrecoVenda;pExige Conferencia;pMarkup;pFrete;pCodigoSA;pDesconto;pEmpresa
1;-1;Castelli;73720;SEM GTIN;San Giusto Plus Granilha 30x120;San;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,27;72,64;6;48;48,9;-1;-1;-1;N;-1;-1;-1;-1;101
2;-1;Castelli;73726;SEM GTIN;Lisboa Out Granilha Diamond/Granilha 30x120;Lisboa;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,27;72,64;6;48;56,9;-1;-1;-1;N;-1;-1;-1;-1;101
3;-1;Castelli;73727;SEM GTIN;Lisboa Decor  Cola + Granilha 30x120;Lisboa;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,27;72,64;6;48;54,9;-1;-1;-1;N;-1;-1;-1;-1;101
4;-1;Castelli;73731;SEM GTIN;Madeira Brauna Plus Deep Ink 30x120;Madeira;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,27;72,64;6;48;62,9;-1;-1;-1;N;-1;-1;-1;-1;101
5;-1;Castelli;70706;SEM GTIN;Brodick Acetinado 20x122;Brodick;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;47,9;-1;-1;-1;N;-1;-1;-1;-1;101
6;-1;Castelli;70721;SEM GTIN;Di Castiglione Mate Seco 20x122;Di;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;47,9;-1;-1;-1;N;-1;-1;-1;-1;101
7;-1;Castelli;70736;SEM GTIN;Balmoral Canela Acetinado 20x122;Balmoral;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;45,9;-1;-1;-1;N;-1;-1;-1;-1;101
8;-1;Castelli;70737;SEM GTIN;Balmoral Marfim Acetinado 20x122;Balmoral;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;45,9;-1;-1;-1;N;-1;-1;-1;-1;101
9;-1;Castelli;70740;SEM GTIN;Arden Castanho Acetinado 20x122;Arden;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;47,9;-1;-1;-1;N;-1;-1;-1;-1;101
10;-1;Castelli;70741;SEM GTIN;Friejó Acetinado 20x122;Friejó;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;47,9;-1;-1;-1;N;-1;-1;-1;-1;101
11;-1;Castelli;70743;SEM GTIN;Arden Castanho Out Diamond/Granilha 20x122;Arden;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;1,47;70,56;6;30;54,9;-1;-1;-1;N;-1;-1;-1;-1;101
12;-1;Castelli;70624;SEM GTIN;Gran Castel Tasso Acetinado 62x122;Gran;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,28;63,84;3;48;45,5;-1;-1;-1;N;-1;-1;-1;-1;101
13;-1;Castelli;70626;SEM GTIN;Gran Rocca Di Borgia Acetinado 62x122;Gran;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,28;63,84;3;48;44,5;-1;-1;-1;N;-1;-1;-1;-1;101
14;-1;Castelli;70652;SEM GTIN;Peterhof Acetinado 62x122;Peterhof;-1;-1;-1;-1;-1;-1;-1;BATATA;0;M2;2,28;63,84;3;48;44,5;-1;-1;-1;N;-1;-1;-1;-1;101
